Location,Unemployed
United States,0.047
Alabama,0.06
Alaska,0.066
Arizona,0.051
Arkansas,0.04
California,0.053
Colorado,0.032
Connecticut,0.048
Delaware,0.043
District of Columbia,0.059
Florida,0.049
Georgia,0.054
Hawaii,0.03
Idaho,0.038
Illinois,0.058
Indiana,0.043
Iowa,0.036
Kansas,0.043
Kentucky,0.05
Louisiana,0.061
Maine,0.04
Maryland,0.042
Massachusetts,0.033
Michigan,0.05
Minnesota,0.04
Mississippi,0.057
Missouri,0.047
Montana,0.041
Nebraska,0.033
Nevada,0.054
New Hampshire,0.028
New Jersey,0.049
New Mexico,0.068
New York,0.049
North Carolina,0.051
North Dakota,0.031
Ohio,0.05
Oklahoma,0.05
Oregon,0.049
Pennsylvania,0.055
Rhode Island,0.053
South Carolina,0.045
South Dakota,0.029
Tennessee,0.049
Texas,0.047
Utah,0.033
Vermont,0.032
Virginia,0.041
Washington,0.053
West Virginia,0.059
Wisconsin,0.042
Wyoming,0.051
Puerto Rico,0.119
