Location,share_voters_voted_trump
Alabama,59.90%
Alaska,54.20%
Arizona,52.70%
Arkansas,60.10%
California,36.40%
Colorado,45.70%
Connecticut,40.30%
Delaware,39.40%
District of Columbia,7.40%
Florida,48.30%
Georgia,52.20%
Hawaii,27.70%
Idaho,64.10%
Illinois,40.20%
Indiana,53.70%
Iowa,46.00%
Kansas,59.40%
Kentucky,60.20%
Louisiana,57.10%
Maine,40.70%
Maryland,35.10%
Massachusetts,37.20%
Michigan,44.60%
Minnesota,44.50%
Mississippi,54.40%
Missouri,53.50%
Montana,55.20%
Nebraska,59.30%
Nevada,44.70%
New Hampshire,46.30%
New Jersey,39.70%
New Mexico,42.20%
New York,34.60%
North Carolina,49.80%
North Dakota,57.90%
Ohio,47.40%
Oklahoma,66.10%
Oregon,41.80%
Pennsylvania,46.30%
Rhode Island,35.10%
South Carolina,54.50%
South Dakota,57.40%
Tennessee,59.00%
Texas,56.10%
Utah,72.10%
Vermont,31.10%
Virginia,46.60%
Washington,40.90%
West Virginia,62.00%
Wisconsin,45.60%
Wyoming,67.80%
