"","state","median_income","share_unemployed","share_population_with_high_school_degree","share_non_citizen","share_white","share_voters_voted_trump","crime_rate","hate_crime_10_day"
"1","Alabama",47221,0.06,0.821,0.02,0.66,"59.90%",1.3808898651561,0.125838926
"2","Alaska",75723,0.066,0.914,0.03,0.61,"54.20%",1.48937264916067,0.143740118
"3","Arizona",57100,0.051,0.842,0.08,0.56,"52.70%",3.34805113558664,0.225319954
"4","Arkansas",45907,0.04,0.824,0.03,0.73,"60.10%",0.420514815262585,0.069060773
"5","California",66637,0.053,0.806,0.14,0.38,"36.40%",2.37241981189183,0.255805361
"6","Colorado",70566,0.032,0.893,0.06,0.69,"45.70%",1.88413647670102,0.390523301
"7","Connecticut",75923,0.048,0.886,0.07,0.68,"40.30%",2.96383119359633,0.335392269
"8","Delaware",58046,0.043,0.874,0.05,0.63,"39.40%",1.57552267964897,0.322754169
"9","District of Columbia",70982,0.059,0.871,0.07,0.36,"7.40%",16.8827165024884,1.52230172
"10","Florida",51176,0.049,0.853,0.09,0.55,"48.30%",1.06807949849217,0.187521223
"11","Georgia",53527,0.054,0.839,0.06,0.53,"52.20%",0.474675629191675,0.120420267
"12","Idaho",56564,0.038,0.884,0.04,0.83,"64.10%",1.60414463443326,0.124208173
"13","Illinois",61386,0.058,0.864,0.07,0.62,"40.20%",0.897081333757898,0.195344549
"14","Indiana",56094,0.043,0.866,0.03,0.8,"53.70%",2.71343987643412,0.247008877
"15","Iowa",59094,0.036,0.914,0.03,0.87,"46.00%",0.545959163539177,0.454427421
"16","Kansas",56810,0.043,0.897,0.05,0.77,"59.40%",1.89091504080132,0.105152471
"17","Kentucky",45369,0.05,0.817,0.02,0.85,"60.20%",4.65270703981678,0.324396969
"18","Louisiana",42196,0.061,0.822,0.02,0.59,"57.10%",0.730244567331498,0.109733348
"19","Maine",50856,0.04,0.902,0.02,0.94,"40.70%",3.00417806063783,0.615574023
"20","Maryland",73760,0.042,0.89,0.08,0.51,"35.10%",0.614980901518787,0.37043897
"21","Massachusetts",72266,0.033,0.89,0.08,0.73,"37.20%",5.89066918001885,0.630810592
"22","Michigan",57091,0.05,0.879,0.03,0.76,"44.60%",4.05170339094064,0.403779375
"23","Minnesota",70218,0.04,0.915,0.04,0.81,"44.50%",2.29774753161092,0.62747993
"24","Mississippi",41099,0.057,0.804,0.01,0.57,"54.40%",1.19565328787573,0.067446801
"25","Missouri",55016,0.047,0.868,0.02,0.8,"53.50%",1.44502572063679,0.18452351
"26","Montana",57075,0.041,0.908,0.01,0.87,"55.20%",1.91929738361381,0.495491032
"27","Nebraska",59374,0.033,0.898,0.05,0.8,"59.30%",1.67873732959462,0.159489633
"28","Nevada",55431,0.054,0.839,0.11,0.5,"44.70%",1.39453031198704,0.14167316
"29","New Hampshire",76260,0.028,0.913,0.03,0.91,"46.30%",2.19578565995122,0.151549595
"30","New Jersey",68468,0.049,0.874,0.1,0.56,"39.70%",3.15335468296094,0.078305908
"31","New Mexico",48451,0.068,0.828,0.06,0.38,"42.20%",4.50639387962382,0.294811321
"32","New York",61437,0.049,0.847,0.1,0.56,"34.60%",3.01436916852553,0.350620446
"33","North Carolina",53764,0.051,0.843,0.05,0.64,"49.80%",1.45875512794317,0.244006588
"34","North Dakota",60184,0.031,0.901,0.02,0.85,"57.90%",1.05611537004302,0
"35","Ohio",53985,0.05,0.876,0.02,0.8,"47.40%",4.61693441404417,0.190713964
"36","Oklahoma",50943,0.05,0.856,0.04,0.66,"66.10%",0.852912632023768,0.133629099
"37","Oregon",59135,0.049,0.891,0.05,0.76,"41.80%",2.93130321795085,0.832849608
"38","Pennsylvania",60979,0.055,0.879,0.03,0.77,"46.30%",0.482428071556262,0.285101092
"39","Rhode Island",61528,0.053,0.847,0.06,0.73,"35.10%",1.13590540179814,0.095401641
"40","South Carolina",54336,0.045,0.836,0.03,0.64,"54.50%",0.465873547335386,0.209894423
"41","South Dakota",57450,0.029,0.899,0.02,0.83,"57.40%",2.28618749023607,0
"42","Tennessee",51344,0.049,0.831,0.03,0.74,"59.00%",2.13495501709919,0.19993848
"43","Texas",58146,0.047,0.799,0.11,0.43,"56.10%",0.638849301766425,0.213583938
"44","Utah",67481,0.033,0.904,0.05,0.79,"72.10%",2.18964298866362,0.136546733
"45","Vermont",60837,0.032,0.91,0.01,0.94,"31.10%",4.00260008901783,0.324149109
"46","Virginia",66451,0.041,0.866,0.06,0.62,"46.60%",1.45040839696109,0.363248898
"47","Washington",70310,0.053,0.897,0.08,0.7,"40.90%",5.3143966868925,0.67748765
"48","West Virginia",44354,0.059,0.828,0.01,0.92,"62.00%",2.52873194577905,0.328677075
"49","Wisconsin",59817,0.042,0.898,0.03,0.82,"45.60%",0.601473858619324,0.226197105
"50","Wyoming",57829,0.051,0.918,0.02,0.85,"67.80%",0.539135873022719,0
